"CIK","Fund","Manager","Denomination","CIKs","URL"
"0001290162","QVT Financial","Dan Gold","QVT Financial LP","","https://qvt.com/"
"0001970075","LBP AM","Emmanuelle Mourey","LBP AM SA","","https://www.lbpam.com/en"
"0001843294","WMP","Michael Ward","Wealth Management Partners, LLC","","https://wmp.nl/en-GB/"
"0002017993","Hancock Prospecting","Garry Korte","Hancock Prospecting Pty Ltd","","https://www.hancockprospecting.com.au/"
"0002031590","Ripple Effect Asset Management","Ravi Bellur","Ripple Effect Asset Management LP","","https://rippleeffectasset.com/"
"0002056566","AGP Franklin","Charles David Crouch","AGP Franklin, LLC","","https://www.aspengroveassetmanagement.com/"
"0001996454","QRG Capital Management","Brandon Thomas","QRG Capital Management, Inc.","","https://www.envestnet.com/qrg/"
"0002046822","Sharpepoint","Brian Robinson","Sharpepoint LLC","","https://sharpepoint.com/"
"0001842665","Halter Ferguson Financial","Scott Ferguson","Halter Ferguson Financial Inc.","","https://www.hffinancial.com/"
"0002058426","Corient IA","Kurt MacAlpine","Corient IA LLC","","https://corient.com/"
"0002033334","North of South Capital","Matt Linsey","North of South Capital LLP","","https://www.northofsouth.com/"
"0001389958","PEAK6","Matt Hulsizer","PEAK6 LLC","","https://www.peak6.com/"
"0002029708","Avenir Technology","Li Lin","Avenir Tech Limited","","https://www.avenir-technology.com/"
"0001535096","Tree Line Advisors","Zaheer Abbas Sitabkhan","Tree Line Advisors (Hong Kong) Ltd.","","https://www.treelineim.com/"
"0001919332","ParaFi Capital","Ben Forman","ParaFi Capital LP","","https://parafi.com/"
"0002058093","Infinitum Partners","John Yetimoglu","Infinitum Asset Management, LLC","","https://infinitumpartners.com/"
"0002035232","BLKBRD Asset Management","Daniel Izzo","BLKBRD Asset Management, LP","","https://www.blkbrdlp.com/"
"0001770120","JNE Partners","Jonathan Esfandi","JNE Partners LLP","","https://www.jnepartners.com/"
"0001985479","Linonia Partners","Philip Arthur Uhde","Linonia Partners Fund LP","","https://linonia.com/"
"0002054122","Longaeva Partners","Peter Goodwin","Longaeva Partners, LP","","https://www.longaeva.com/"
"0001633799","Nishkama Capital","Ravee Mehta","Nishkama Capital, LLC","","https://www.nishkama.com/"
"0001680964","SoMa Equity Partners","Gil Simon","SoMa Equity Partners LP","","https://www.somaequity.com/"
"0001904897","Styrax Capital","Soly Vahabzadeh","Styrax Capital, LP","","https://www.linkedin.com/company/styrax-capital-lp"
"0002014039","Triata Capital","Sean Ho","Triata Capital Ltd","","https://www.triatacapital.com/"
"0002045724","Situational Awareness","Leopold Aschenbrenner","Situational Awareness LP","","https://situationalawarenesslp.com/"
"0002065849","Yukon Wealth Management","John Hanahan","Yukon Wealth Management, Inc.","","https://www.yukoncm.com/"
"0002079812","Tripletail Wealth","Erik Bonnett","Tripletail Wealth Management, LLC","","https://www.tripletailwealth.com/"
"0001569395","Mirae Asset Global Investments","Hyeon Joo Park","Mirae Asset Global Investments Co., Ltd.","","https://investments.miraeasset.eu/"
"0002065606","Notable","Glenn Solomon & Jeff Richards","Notable Capital Management, L.L.C.","","https://www.notablecap.com/"
"0001316507","Calamos Investments","John Koudounis","Calamos Advisors LLC","","https://www.calamos.com/"
"0002077080","Midwest Trust","Bradley Bergman","Midwest Trust Co","","https://www.midwesttrust.com/"
"0000918893","Rosenblum-Silverman-Sutton SF","Barbara Rosenblum","Rosenblum Silverman Sutton S F Inc /CA","","https://www.rssic.com/"
"0000919192","Amalgamated Bank","Priscilla Sims Brown","Amalgamated Bank","","https://www.amalgamatedbank.com/"
"0000812291","Mizuho USA","Jerry Rizzieri","Mizuho Securities USA LLC","","https://www.mizuhogroup.com/securities"
"0001847582","TMT General Partner","Qin Liu","TMT General Partner Ltd.","","https://www.5ycap.com/"
"0002077718","Sullivan Wood","James Arnold Sullivan","Sullivan Wood Capital Management","","https://www.sullivanwood.com/"
"0001729829","Qube Research & Technologies","Pierre-Yves Morlat","Qube Research & Technologies Ltd","","https://www.qube-rt.com/"
"0002012383","BlackRock","BlackRock","BlackRock, Inc.","","https://www.blackrock.com/"
"0000093751","State Street","State Street","State Street Corporation","","https://statestreet.com/"
"0001595888","Jane Street","Jane Street","Jane Street Capital, LLC","","https://www.janestreet.com/"
